                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 2.5493,                   2.48,                 3.1833,                0.05707,                0.39506,                0.06771,                0.02026,                  2.569,                 4.3158,                 3.2226,                0.00769,                0.00769,                0.00769
                     72,                 2.5565,                 2.6827,                 3.1682,                 0.1718,                0.32099,                0.13959,                0.03947,                 2.5604,                 3.7976,                 3.1784,               0.007657,               0.007657,               0.007657
                     73,                 2.5715,                 2.4958,                 3.1509,                0.53665,                0.23457,                0.32046,                0.07734,                 2.6844,                 4.0579,                 3.2715,               0.007624,               0.007624,               0.007624
                     74,                 2.5668,                 2.5355,                 3.1286,                0.30009,                0.40741,                0.32518,                0.09032,                 2.5986,                 3.7453,                 3.1609,               0.007591,               0.007591,               0.007591
                     75,                  2.553,                 2.5329,                 3.1437,                0.42644,                0.42225,                0.44847,                0.14026,                 2.3925,                 2.9291,                 3.0175,               0.007558,               0.007558,               0.007558
                     76,                 2.6063,                 2.4171,                 3.1616,                0.46464,                0.51852,                0.50779,                 0.1877,                 2.2204,                  2.713,                 2.8959,               0.007525,               0.007525,               0.007525
                     77,                 2.4661,                 2.3584,                 3.1161,                0.13347,                0.41975,                0.13307,                 0.0366,                 2.5123,                 3.2407,                 3.1307,               0.007492,               0.007492,               0.007492
                     78,                  2.518,                 2.5008,                 3.1963,                0.35157,                0.46914,                0.35923,                0.11833,                 2.2589,                 3.0494,                 2.9433,               0.007459,               0.007459,               0.007459
                     79,                 2.5435,                 2.4289,                 3.1644,                0.35981,                0.53086,                0.41342,                 0.1522,                  2.236,                  2.963,                 2.9189,               0.007426,               0.007426,               0.007426
                     80,                 2.4817,                 2.3587,                 3.1275,                0.51046,                0.53086,                0.50535,                0.19162,                 2.2148,                 2.7133,                 2.9122,               0.007393,               0.007393,               0.007393
                     81,                 2.4835,                 2.4136,                 3.0972,                0.28625,                0.34568,                0.23718,                0.05401,                 2.7503,                 3.8754,                 3.2849,                0.00736,                0.00736,                0.00736
                     82,                 2.4231,                 2.3254,                 3.0766,                0.22204,                 0.4321,                0.19702,                0.04763,                 2.7498,                 4.1216,                 3.3074,               0.007327,               0.007327,               0.007327
